id,destination_id,category_id,created_at
209,68,3,2023-11-18 16:38:40.736392+00
210,68,13,2023-11-18 16:38:40.736392+00
211,69,13,2023-11-18 16:39:41.255258+00
212,69,1,2023-11-18 16:39:41.255258+00
213,69,2,2023-11-18 16:39:41.255258+00
214,70,13,2023-11-18 16:40:03.451891+00
215,70,1,2023-11-18 16:40:03.451891+00
216,71,13,2023-11-18 16:41:28.550567+00
217,71,5,2023-11-18 16:41:28.550567+00
218,71,6,2023-11-18 16:41:28.550567+00
219,72,10,2023-11-18 16:41:55.723397+00
220,72,8,2023-11-18 16:41:55.723397+00
221,72,9,2023-11-18 16:41:55.723397+00
222,72,7,2023-11-18 16:41:55.723397+00
223,73,1,2023-11-18 16:42:18.624178+00
224,73,13,2023-11-18 16:42:18.624178+00
225,74,1,2023-11-18 16:42:47.9612+00
226,74,13,2023-11-18 16:42:47.9612+00
227,75,1,2023-11-18 16:43:33.26538+00
228,75,13,2023-11-18 16:43:33.26538+00
229,76,1,2023-11-18 16:44:07.221751+00
230,76,13,2023-11-18 16:44:07.221751+00
231,76,7,2023-11-18 16:44:07.221751+00
232,76,8,2023-11-18 16:44:07.221751+00
233,77,6,2023-11-18 16:44:56.581229+00
234,77,5,2023-11-18 16:44:56.581229+00
235,78,2,2023-11-18 16:46:34.901495+00
236,78,7,2023-11-18 16:46:34.901495+00
237,78,8,2023-11-18 16:46:34.901495+00
238,79,6,2023-11-18 16:47:19.760279+00
239,79,5,2023-11-18 16:47:19.760279+00
240,80,1,2023-11-18 16:47:49.017088+00
241,80,13,2023-11-18 16:47:49.017088+00
242,81,7,2023-11-18 16:49:43.584204+00
243,81,8,2023-11-18 16:49:43.584204+00
244,81,2,2023-11-18 16:49:43.584204+00
245,81,9,2023-11-18 16:49:43.584204+00
246,82,5,2023-11-18 16:50:12.217316+00
247,82,4,2023-11-18 16:50:12.217316+00
248,82,6,2023-11-18 16:50:12.217316+00
249,82,11,2023-11-18 16:50:12.217316+00
250,83,7,2023-11-18 16:50:35.170452+00
251,83,2,2023-11-18 16:50:35.170452+00
252,83,8,2023-11-18 16:50:35.170452+00
253,84,13,2023-11-18 16:51:22.705388+00
254,84,1,2023-11-18 16:51:22.705388+00
255,84,5,2023-11-18 16:51:22.705388+00
256,85,1,2023-11-18 16:52:10.929152+00
257,85,13,2023-11-18 16:52:10.929152+00
258,86,1,2023-11-18 16:52:28.227875+00
259,86,13,2023-11-18 16:52:28.227875+00
260,87,13,2023-11-18 16:53:12.114919+00
261,87,5,2023-11-18 16:53:12.114919+00
262,88,1,2023-11-18 16:53:52.615497+00
263,88,13,2023-11-18 16:53:52.615497+00
264,88,7,2023-11-18 16:53:52.615497+00
265,89,1,2023-11-18 16:54:31.793408+00
266,89,13,2023-11-18 16:54:31.793408+00
269,91,1,2023-11-18 16:55:50.613541+00
270,91,13,2023-11-18 16:55:50.613541+00
271,92,1,2023-11-18 16:56:05.678447+00
272,92,13,2023-11-18 16:56:05.678447+00
273,93,13,2023-11-18 16:56:22.275984+00
274,93,1,2023-11-18 16:56:22.275984+00
275,94,1,2023-11-18 16:56:44.388551+00
276,94,13,2023-11-18 16:56:44.388551+00
277,95,1,2023-11-18 16:57:36.206198+00
278,95,13,2023-11-18 16:57:36.206198+00
279,96,2,2023-11-18 16:57:55.85242+00
280,96,13,2023-11-18 16:57:55.85242+00
281,97,1,2023-11-18 16:58:41.132269+00
282,97,13,2023-11-18 16:58:41.132269+00
283,98,1,2023-11-18 16:59:03.805551+00
284,98,13,2023-11-18 16:59:03.805551+00
285,99,1,2023-11-18 16:59:39.427071+00
286,99,3,2023-11-18 16:59:39.427071+00
287,99,13,2023-11-18 16:59:39.427071+00
288,99,7,2023-11-18 16:59:39.427071+00
289,100,7,2023-11-18 17:00:06.435714+00
290,100,8,2023-11-18 17:00:06.435714+00
291,101,1,2023-11-18 17:00:51.659533+00
292,101,13,2023-11-18 17:00:51.659533+00
297,108,7,2023-12-11 07:41:11.546812+00
298,108,3,2023-12-11 07:41:11.546812+00
299,109,2,2023-12-11 07:46:46.925899+00
300,109,7,2023-12-11 07:46:46.925899+00
301,109,8,2023-12-11 07:46:46.925899+00
302,109,9,2023-12-11 07:46:46.925899+00
303,109,10,2023-12-11 07:46:46.925899+00
304,110,3,2023-12-11 07:50:26.332408+00
305,110,1,2023-12-11 07:50:26.332408+00
306,110,6,2023-12-11 07:50:26.332408+00
307,111,1,2023-12-11 07:53:47.733764+00
308,111,6,2023-12-11 07:53:47.733764+00
309,112,2,2023-12-11 07:57:38.725405+00
310,112,8,2023-12-11 07:57:38.725405+00
311,112,9,2023-12-11 07:57:38.725405+00
312,112,10,2023-12-11 07:57:38.725405+00
313,113,1,2023-12-11 08:01:31.808564+00
314,114,2,2023-12-11 08:06:12.878336+00
315,114,8,2023-12-11 08:06:12.878336+00
316,115,1,2023-12-11 08:10:24.723974+00
317,115,5,2023-12-11 08:10:24.723974+00
318,115,6,2023-12-11 08:10:24.723974+00
319,116,5,2023-12-11 08:15:03.857254+00
320,116,6,2023-12-11 08:15:03.857254+00
321,117,2,2023-12-11 08:18:40.557183+00
322,117,8,2023-12-11 08:18:40.557183+00
323,117,9,2023-12-11 08:18:40.557183+00
324,118,14,2023-12-11 08:24:04.44752+00
325,119,15,2023-12-11 08:29:51.006567+00
326,120,14,2023-12-11 08:32:01.985491+00
327,121,1,2023-12-11 08:36:57.340266+00
328,121,6,2023-12-11 08:36:57.340266+00
329,121,14,2023-12-11 08:36:57.340266+00
330,122,2,2023-12-11 08:39:28.821499+00
331,122,1,2023-12-11 08:39:28.821499+00
332,122,8,2023-12-11 08:39:28.821499+00
333,122,13,2023-12-11 08:39:28.821499+00
334,123,2,2023-12-11 08:46:10.380822+00
335,123,8,2023-12-11 08:46:10.380822+00
336,123,9,2023-12-11 08:46:10.380822+00
337,123,10,2023-12-11 08:46:10.380822+00
338,124,14,2023-12-11 08:48:00.743351+00
339,125,6,2023-12-11 08:49:47.817971+00
340,126,3,2023-12-11 08:52:08.793319+00
341,126,4,2023-12-11 08:52:08.793319+00
342,126,5,2023-12-11 08:52:08.793319+00
343,126,15,2023-12-11 08:52:08.793319+00
344,127,2,2023-12-11 08:55:03.293976+00
