id,created_at,author_id,title,isbn,language,pages,published,genre,rating,score,vote,link,image,image_small,description
271,2023-05-24 08:44:31.337685+00,201,Marked (House of Night #1),9780312360269,English,306,2007-05-01,"Young Adult, Fantasy, Vampires, Paranormal, Romance, Fiction, Supernatural",3.81 avg rating - 477.902 ratings,53.694,634,https://www.goodreads.com/book/show/30183.Marked,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1317067002i/30183.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1317067002i/30183._SX50_.jpg,"Also see: Alternate Cover Editions for this ISBN [ACE] ACE #1After a Vampire Tracker Marks her with a crescent moon on her forehead, 16-year-old Zoey Redbird enters the House of Night and learns that she is no average fledgling. She has been Marked as special by the vampyre Goddess Nyx and has affinities for all five elements: Air, Fire, Water, Earth and Spirit. But she is not the only fledgling at the House of Night with special powers. When she discovers that the leader of the Dark Daughters, the school’s most elite club, is misusing her Goddess-given gifts, Zoey must look deep within herself for the courage to embrace her destiny—with a little help from her new vampyre friends (or Nerd Herd, as Aphrodite calls them)."
272,2023-05-24 08:44:31.337685+00,202,The Complete Calvin and Hobbes,9780740748479,English,1456,2005-09-06,"Comics, Humor, Graphic Novels, Fiction, Classics, Comedy, Graphic Novels Comics",4.80 avg rating - 39.099 ratings,53.54,670,https://www.goodreads.com/book/show/24812.The_Complete_Calvin_and_Hobbes,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1607384975i/24812.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1607384975i/24812._SX50_.jpg,"[ Box Set | Book One | Book Two | Book Three ]Calvin and Hobbes is unquestionably one of the most popular comic strips of all time. The imaginative world of a boy and his real-only-to-him tiger was first syndicated in 1985 and appeared in more than 2,400 newspapers when Bill Watterson retired on January 1, 1996. The entire body of Calvin and Hobbes cartoons published in a truly noteworthy tribute to this singular cartoon in The Complete Calvin and Hobbes. Composed of three hardcover, four-color volumes in a sturdy slipcase, this New York Times best-selling edition includes all Calvin and Hobbes cartoons that ever appeared in syndication. This is the treasure that all Calvin and Hobbes fans seek."
273,2023-05-24 08:44:31.337685+00,191,Norwegian Wood,9780375704024,English,296,1987-09-04,"Fiction, Romance, Japan, Contemporary, Japanese Literature, Novels, Classics",4.02 avg rating - 535.848 ratings,53.452,612,https://www.goodreads.com/book/show/11297.Norwegian_Wood,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630460042i/11297.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630460042i/11297._SY75_.jpg,"Toru, a quiet and preternaturally serious young college student in Tokyo, is devoted to Naoko, a beautiful and introspective young woman, but their mutual passion is marked by the tragic death of their best friend years before.  Toru begins to adapt to campus life and the loneliness and isolation he faces there, but Naoko finds the pressures and responsibilities of life unbearable. As she retreats further into her own world, Toru finds himself reaching out to others and drawn to a fiercely independent and sexually liberated young woman. A magnificent blending of the music, the mood, and the ethos that was the sixties with the story of one college student's romantic coming of age, Norwegian Wood brilliantly recaptures a young man's first, hopeless, and heroic love."
274,2023-05-24 08:44:31.337685+00,203,Speak,9780374311254,English,224,1999-10-22,"Young Adult, Fiction, Contemporary, Realistic Fiction, Mental Health, Teen, Coming Of Age",4.04 avg rating - 566.324 ratings,53.202,650,https://www.goodreads.com/book/show/39280444-speak,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1529044298i/39280444.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529044298i/39280444._SY75_.jpg,"The first ten lies they tell you in high school. ""Speak up for yourself—we want to know what you have to say. "" From the first moment of her freshman year at Merryweather High, Melinda knows this is a big fat lie, part of the nonsense of high school. She is friendless, outcast, because she busted an end-of-summer party by calling the cops, so now nobody will talk to her, let alone listen to her. As time passes, she becomes increasingly isolated and practically stops talking altogether. Only her art class offers any solace, and it is through her work on an art project that she is finally able to face what really happened at that terrible party: she was raped by an upperclassman, a guy who still attends Merryweather and is still a threat to her. Her healing process has just begun when she has another violent encounter with him. But this time Melinda fights back, refuses to be silent, and thereby achieves a measure of vindication. In Laurie Halse Anderson's powerful novel, an utterly believable heroine with a bitterly ironic voice delivers a blow to the hypocritical world of high school. She speaks for many a disenfranchised teenager while demonstrating the importance of speaking up for oneself. Speak was a 1999 National Book Award Finalist for Young People's Literature."
275,2023-05-24 08:44:31.337685+00,204,Roots: The Saga of an American Family,9780440174646,English,888,1976-08-17,"Historical Fiction, Fiction, Classics, Historical, African American, Africa, Race",4.44 avg rating - 157.307 ratings,52.843,695,https://www.goodreads.com/book/show/546018.Roots,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1329398936i/546018.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329398936i/546018._SY75_.jpg,"When he was a boy in Henning, Tennessee, Alex Haley's grandmother used to tell him stories about their family—stories that went back to her grandparents, and their grandparents, down through the generations all the way to a man she called ""the African. "" She said he had lived across the ocean near what he called the ""Kamby Bolongo"" and had been out in the forest one day chopping wood to make a drum when he was set upon by four men, beaten, chained and dragged aboard a slave ship bound for Colonial America. Still vividly remembering the stories after he grew up and became a writer, Haley began to search for documentation that might authenticate the narrative. It took ten years and a half a million miles of travel across three continents to find it, but finally, in an astonishing feat of genealogical detective work, he discovered not only the name of ""the African""—Kunta Kinte—but the precise location of Juffure, the very village in The Gambia, West Africa, from which he was abducted in 1767 at the age of sixteen and taken on the Lord Ligonier to Maryland and sold to a Virginia planter. Haley has talked in Juffure with his own African sixth cousins. On September 29, 1967, he stood on the dock in Annapolis where his great-great-great-great-grandfather was taken ashore on September 29, 1767. Now he has written the monumental two-century drama of Kunta Kinte and the six generations who came after him—slaves and freedmen, farmers and blacksmiths, lumber mill workers and Pullman porters, lawyers and architects—and one author. But Haley has done more than recapture the history of his own family. As the first black American writer to trace his origins back to their roots, he has told the story of 25,000,000 Americans of African descent. He has rediscovered for an entire people a rich cultural heritage that slavery took away from them, along with their names and their identities. But Roots speaks, finally, not just to blacks, or to whites, but to all people and all races everywhere, for the story it tells is one of the most eloquent testimonials ever written to the indomitability of the human spirit."
276,2023-05-24 08:44:31.337685+00,205,Stranger in a Strange Land,,English,525,1961-07-01,"Science Fiction, Fiction, Classics, Science Fiction Fantasy, Fantasy, Novels, Speculative Fiction",3.92 avg rating - 303.770 ratings,52.788,658,https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1156897088i/350.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1156897088i/350._SY75_.jpg,"NAME: Valentine Michael SmithANCESTRY: HumanORIGIN: MarsValentine Michael Smith is a human being raised on Mars, newly returned to Earth. Among his people for the first time, he struggles to understand the social mores and prejudices of human nature that are so alien to him, while teaching them his own fundamental beliefs in grokking, watersharing, and love."
277,2023-05-24 08:44:31.337685+00,206,Island of the Blue Dolphins,,English,194,1960-09-09,"Young Adult, Fiction, Historical Fiction, Classics, Childrens, Middle Grade, Adventure",3.86 avg rating - 322.903 ratings,52.708,680,https://www.goodreads.com/book/show/41044096-island-of-the-blue-dolphins,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1533405446i/41044096.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1533405446i/41044096._SX50_.jpg,"In the Pacific there is an island that looks like a big fish sunning itself in the sea. Around it, blue dolphins swim, otters play, and sea elephants and sea birds abound. Once, Indians also lived on the island. And when they left and sailed to the east, one young girl was left behind. — This is the story of Karana, the Indian girl who lived alone for years on the Island of the Blue Dolphins. Year after year, she watched one season pass into another and waited for a ship to take her away. But while she waited, she kept herself alive by building shelter, making weapons, finding food, and fighting her enemies, the wild dogs. It is not only an unusual adventure of survival, but also a tale of natural beauty and personal discovery."
278,2023-05-24 08:44:31.337685+00,10,Paper Towns,9780142414934,English,305,2008-10-16,"Young Adult, Fiction, Contemporary, Romance, Mystery, Realistic Fiction, Coming Of Age",3.72 avg rating - 1.262.945 ratings,51.865,611,https://www.goodreads.com/book/show/6442769-paper-towns,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1349013610i/6442769.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349013610i/6442769._SX50_.jpg,"Who is the real Margo?Quentin Jacobsen has spent a lifetime loving the magnificently adventurous Margo Roth Spiegelman from afar. So when she cracks open a window and climbs into his life—dressed like a ninja and summoning him for an ingenious campaign of revenge—he follows. After their all-nighter ends, and a new day breaks, Q arrives at school to discover that Margo, always an enigma, has now become a mystery. But Q soon learns that there are clues—and they're for him. Urged down a disconnected path, the closer he gets, the less Q sees the girl he thought he knew. . ."
289,2023-05-24 08:44:31.337685+00,212,Delirium (Delirium #1),9780061726835,English,441,2011-02-03,"Young Adult, Dystopia, Romance, Science Fiction, Fantasy, Fiction, Teen",3.96 avg rating - 457.231 ratings,50.148,577,https://www.goodreads.com/book/show/11614718-delirium,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327890411i/11614718.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327890411i/11614718._SX50_.jpg,"There is an alternate cover edition for this ISBN13 here. In an alternate United States, love has been declared a dangerous disease, and the government forces everyone who reaches eighteen to have a procedure called the Cure. Living with her aunt, uncle, and cousins in Portland, Maine, Lena Haloway is very much looking forward to being cured and living a safe, predictable life. She watched love destroy her mother and isn't about to make the same mistake. But with ninety-five days left until her treatment, Lena meets enigmatic Alex, a boy from the ""Wilds"" who lives under the government's radar. What will happen if they do the unthinkable and fall in love?"
279,2023-05-24 08:44:31.337685+00,69,The Girl Who Kicked the Hornet's Nest (Millennium #3),9780307269997,English,566,2007-05-01,"Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Contemporary",4.23 avg rating - 712.644 ratings,51.329,660,https://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327708260i/6892870.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327708260i/6892870._SX50_.jpg,"The stunning third and final novel in Stieg Larsson's internationally best-selling trilogy. Lisbeth Salander - the heart of Larsson's two previous novels - lies in critical condition, a bullet wound to her head, in the intensive care unit of a Swedish city hospital. She's fighting for her life in more ways than one: if and when she recovers, she'll be taken back to Stockholm to stand trial for three murders. With the help of her friend, journalist Mikael Blomkvist, she will not only have to prove her innocence, but also identify and denounce those in authority who have allowed the vulnerable, like herself, to suffer abuse and violence. And, on her own, she will plot revenge - against the man who tried to kill her, and the corrupt government institutions that very nearly destroyed her life. Once upon a time, she was a victim. Now Salander is fighting back. ~from the jacket"
